"die Freiheit (Pl.: die Freiheiten)	","freedom [Kampf {m} um die Freiheit--fight for freedom]"
"der Käse (kein Plural [Substanz] / Pl.: die Käse [Laibe; Sorten])","cheese [gastr.] [gebratener / gebackener Käse {m} mit Schinken--fried cheese with ham [gastr.]; eine Mausefalle mit Käse bestücken--bait a mousetrap with cheese]"
"der Schauspieler (Pl.: die Schauspieler)","actor [theatre; film; jobs]"
"die Verspätung (Pl.: die Verspätungen)	","delay [Verspätung des Zuges--delay of the train] [z.B. 'Die Folge der Sabotage waren Zugverspätungen im ganzen Land.']"
"die Unterdrückung (Pl.: die Unterdrückungen)","oppression [politische Unterdrückung--political oppression]"
"die Vertreibung (Pl.: die Vertreibungen)","expulsion [aus--from] [die Vertreibung aus dem Paradies--the expulsion from Paradise [bibl.; art]]"
"die Halle (Pl.: die Hallen)	","hall [large public room or building] [archi.] [die Halle war romantisch ausgestattet--the hall was decorated to give it a romantic feel; die Halle hat 900 Sitzplätze--the hall seats 900]; hangar [aviat.]"
"die Front (Pl.: die Fronten)	","front [Vorderseite; Kampflinie, -gebiet; meteo] [an die Front geschickt werden--be sent to the front]"
"das Zugeständnis (Pl.: die Zugeständnisse)","concession [preisliche Zugeständnisse machen--make price concessions] [z.B. 'Strelkow: Der Präsident hat entschieden, dass er nicht wie Gorbatschow als Judas in die Geschichte eingehen will. Er hat endlich verstanden, dass alle Zugeständnisse an den Westen fruchtlos sind. Er stellt die russische Souveränität wieder her.']"
"die Zuhörer {pl} (Sg.: der Zuhörer)	","audience [of speaker] [Die Zuhörer / Zuschauer gerieten (völlig) aus dem Häuschen.--The audience went delirious.]"
"der Aufseher (Pl.: die Aufseher)	","warden [jobs] (надзиратель); supervisor [allgemein] [er ist heute als Aufseher eingeteilt--he has been allocated the job of supervisor today]"
"der Schrank (Pl.: die Schränke)	","cabinet [furn.] [im Wohnzimmer; Vitrinenschrank, Medizinschrank auch]"
"die Süßigkeit	","candy [gastr.] (Pl.: die Süßigkeiten); sweetness (kein Plural)"
"die Reste {pl} (Sg.: der Rest)	","remains; remnants [die Reste einer Kirche/Stadt/Kultur--the remnants of a church/city/civilization] [z.B. 'Wir bekamen zu essen, oft Reste, und Wasser zu trinken.']"
"die Startbahn (Pl.: die Startbahnen)	","runway [aviat.] [von der Startbahn rutschen--skid off the runway [plane] [aviat.]]"
"die Schleife (Pl.: die Schleifen)	","loop [also comp., aviat.] [geschlossene Schleife--closed loop (замкнутый цикл)]"
"die Hektik (kein Plural)	","rush [in (such) a mad rush--mit einer (solchen) Hektik]; hectic pace [+von Leben etc] [Sie arbeitet mit einer solchen Hektik.--She works at such a hectic pace.]"
"die Verwandte {pl} (Sg.: der Verwandter (male); die Verwandte (female))","relatives [entfernte Verwandte--distant relatives]"
"das Gepäck (kein Plural)	","luggage [sein Gepäck aufgeben--check in one's luggage]"
"die Aufgabe (Pl.: die Aufgaben)	","task [anspruchsvolle Aufgabe--challenging task]; responsibility [Verantwortung]; surrender [Kapitulation]"
"der Einsatz (Pl.: die Einsätze)	","use [Verwendung] [im Einsatz sein--be in use [Gerät]]; mission [mil.]; operation [von Feuerwehr, Polizei etc.] [Anti-Terror-Einsatz--anti-terror operation [pol.]]; stake [wager] [mit hohem Einsatz spielen--play for high stakes (играть по-крупному)]; commitment [dedication] [voller Einsatz--total commitment]"
"der Hitzkopf (Pl.: die Hitzköpfe)	","hothead [ein Hitzkopf sein--have a fiery temper] (горячая голова)"
"die Aufständische {pl} (Sg.: der Aufständischer (male); die Aufständische (female))","rebels [Maßnahmen gegen Aufständische--counterinsurgency measures]"
"die Moschee (Pl.: die Moscheen)	","mosque [relig.; archi.] [Al-Aqsa-Moschee--al-Aqsa Mosque]"
"die Umweltverschmutzung (Pl.: die Umweltverschmutzungen)","pollution [ecol.] [industrielle Umweltverschmutzung--industrial pollution]"
"das Heilmittel (Pl.: die Heilmittel)	","cure [med.] [Es gibt kein Heilmittel für Schizophrenie.--There is no cure for schizophrenia]; medicine [pharm.] [medicament] [also fig.]"
"der Verbrauch (kein Plural [das Verbrauchen]/[verbrauchte Menge, Anzahl von etwas] die Verbräuche [fachspr.])","consumption [von, an +Dat.--of] [Verbrauch von Luxusgütern--consumption of luxury goods]"
"die Benachteiligung (Pl.: die Benachteiligungen)","disadvantage [rechtliche Benachteiligung--legal disadvantage; wettbewerbliche Benachteiligung--competitive disadvantage]; discrimination [+Gen.--against; von--against] [benachteiligter Zustand] [massive Benachteiligung--massive discrimination] [z.B. 'Dem [to this] pflichten die Karlsruher Richter laut 'taz' bei und kippen eine Klausel im NRW-Schulgesetz, die für die 'Darstellung christlicher und abendländischer Bildungs- und Kulturwerte und Traditionen' eine privilegierte Behandlung vorsieht. Diese Privilegierung sei eine Benachteiligung aus religiösen Gründen, zitiert die 'taz' aus dem Richterspruch.']"
"der Pilger (Pl.: die Pilger)	","pilgrim [relig.] [Ein Fußabdruck im Felsen zieht Pilger vieler Religionen an.--A footprint in the rock attracts pilgrims of many religions.] (паломник)"
"die Duldung (Pl.: die Duldungen)	","acquiescence (молчаливое или неохотное согласие); tolerance; [suspension of deportation] [law]"
"die Anbindung (Pl.: die Anbindungen)	","connection [Verbindung] [eine gute verkehrstechnische Anbindung haben--have good transport connections [transp.]]"
"die Verurteilung (Pl.: die Verurteilungen)","sentence [law] [Verurteilung zu lebenslänglicher Freiheitsstrafe--life-sentence (пожизненное заключение)]; conviction [law] [strafrechtliche Verurteilung--criminal conviction [law] (судимость; осуждение в уголовном порядке)]; condemnation [moralische Verurteilung--moral condemnation]"
"die Auflage (Pl.: die Auflagen)	","condition [Bedingung] [er bekam die Genehmigung nur mit der Auflage, das zu tun--he obtained permission only on condition that he do that]; requirement [Bedingung, Voraussetzung] [gesetzliche Auflage--regulatory requirement [law]]; impost [fin.] [tax, duty etc.] (сбор); number of copies [Auflagenhöhe e. Buches] [publ.] [das Buch hat hohe Auflagen erreicht--a large number of copies of this book have been published]"
"die Folge (Pl.: die Folgen)	","consequence [Ergebnis] [die Folgen für den Tourismus--the consequences for tourism]; episode [RadioTV; film]"
"die Schlagzeile (Pl.: die Schlagzeilen)","headline [in die Schlagzeilen geraten--make the headlines] [z.B. 'Erst zu Beginn des Monats war American Airlines in die Schlagzeilen geraten, weil ein 57-jähriger Pilot bei einem Flug im Cockpit gestorben war.']"
"die Übernahme (Pl.: die Übernahmen)	","takeover [freundliche/feindliche Übernahme--friendly/hostile takeover [comm.]]; adoption [+von Ausdruck, Ansicht]"
"der Anteilseigner (Pl.: die Anteilseigner)","shareholder [Aktionär] [stocks] [mehrheitliche Anteilseigner--majority shareholders [fin.]]"
"der Mitstreiter (Pl.: die Mitstreiter)	","ally [Verbündete/r]; colleague [comrade-in-arms, ally]"
"die Fortsetzung (Pl.: die Fortsetzungen)","continuation [das Fortsetzen; Anschlussstück] [Fortsetzung der Geschichte--continuation of the story]; resumption [esp nach Unterbrechung] [Fortsetzung der mündlichen Verhandlung--resumption of the hearing [law]]"
"der Verbündete/ein Verbündeter (Pl.: die Verbündeten)","ally [pol.] [Die USA sind Deutschlands engste Verbündete außerhalb Europas.--The United States is Germany's closest ally outside Europe.]"
"der Irrsinn (kein Plural)	","insanity [das ist ja Irrsinn!--that's sheer madness]"
"die Weigerung (Pl.: die Weigerungen)	","refusal [trotz einer solchen Weigerung--such refusal notwithstanding]"
"der Schauplatz (Pl.: die Schauplätze)	","location; scene [vom Schauplatz (der Politik) abtreten--leave the (political) scene]"
"das Viertel (Pl.: die Viertel)	","neighbourhood [Wohngegend] [besseres Viertel--upscale neighborhood ]; quarter [fourth] [um Viertel vor acht--at a quarter to eight] [z.B. 'Mehr als ein Viertel aller Flüchtlinge sind Jugendliche, die ohne ihre Eltern nach Europa kommen.']"
"der Auslöser (Pl.: die Auslöser)	","trigger [Anlass] [der Auslöser für etw (A) sein--trigger sth off]"
"der Tänzer (Pl.: die Tänzer)	","dancer [Er ist kein guter Tänzer.--He's not much of a dancer.]"
"das Einlenken (kein Plural)	","relenting [Nachgeben] [jdn zum Einlenken bringen--persuade sb to give way (or make concessions)] (relent = смягчиться)"
"der Machthaber (Pl.: die Machthaber)	","ruler [z.B. 'Russland stützt das Regime von Syriens Machthaber Baschar al-Assad mit Luftangriffen. Der Westen wirft Moskau vor, auch Zivilisten und die Opposition zu treffen [with airstrikes].']; power holder [pol.]"
"die Übereinkunft (Pl.: die Übereinkünfte)","accordance; agreement [schriftliche Übereinkunft--written agreement; eine Übereinkunft erzielen über etw.--reach an agreement on sth.]]"
"der Frieden  (auch: der Friede)  (Pl.: die Frieden)","peace [im Frieden--in peacetime; (den) Frieden wiederherstellen--establish peace [pol.; mil.]; seinen inneren Frieden finden--find one's inner peace]"
"die Ausreise (Pl.: die Ausreisen)	","departure [from a/the country] [jdm die Ausreise verweigern--prohibit sb from leaving the country; das Recht auf Ausreise--the right to leave the country]"
"der Einsturz (Pl.: die Einstürze)	","collapse [Einsturz einer Brücke--collapse of a bridge]"
"der Ortsteil (Pl.: die Ortsteile)	district [part of a town, village]","der Jahrestag (Pl.: die Jahrestage)	"
"anniversary [einen Jahrestag begehen--commemorate an anniversary] [z.B. 'Bis zu 1,5 Millionen Armenier starben 1915 bei den Massakern im Osmanischen Reich. Bundespräsident Joachim Gauck fand dafür im vergangenen Jahr klare Worte: In einer Rede zum 100. Jahrestag nannte er die Verbrechen einen Völkermord.']","die Klamotten [salopp: Kleidung] {pl} (kein Singular)"
"clothes [cloth.] [beste Klamotten--glad rags (праздничная одежда)]","die Belagerung (Pl.: die Belagerungen)	"
"siege [mil.] [eine Belagerung durchführen--conduct a siege]","die Willkür (kein Plural)	"
"arbitrariness [bei Entscheidungen, Handlungen] (произвол); despotism [in politics] [pol.]","die Versöhnung (Pl.: die Versöhnungen)	"
"reconciliation [Versöhnung zwischen jdm./etw. --reconciliation between sb./sth. [persons, ideas, etc.]; Versöhnung der Rassen--racial reconciliation]","die Auszählung (Pl.: die Auszählungen)	"
"count [of votes etc.] [Auszählung der Stimmen--vote count [pol.]] [z.B. 'Grundlage hierfür sind amtliche Statistiken, Umfragen vor der Wahl, Befragungen am Wahltag und das Ergebnis der vorläufigen Auszählung der Stimmen.']","der Film (Pl.: die Filme)	"
"movie [Kinofilm] [einen Film drehen--shoot a film; Hollywood-Film--Hollywood film]","das Abzeichen (Pl.: die Abzeichen)	"
"emblem; badge [ansteckbare Plakette] [jdm ein Abzeichen an die Brust heften--pin a decoration to sb's chest] (значок)","die Briefmarke (Pl.: die Briefmarken)	"
"stamp [eine Briefmarke auf einen Umschlag kleben--stick a stamp on an envelope]","der Park (Pl.: die Parks)	"
"park [durch den Park wandern--ramble through the park; im Park--at the park]","die Annäherung (Pl.: die Annäherungen)	"
"approach [Angleichung] [an +Akk.--towards]; approaching; rapprochement [pol.] [die Annäherung zwischen Ost und West--the rapprochement of East and West] (сближение между государствами)","die Angaben {pl} (Sg.: die Angabe)	"
"information [Angaben machen--provide information]; statements [irreführende Angaben--misleading statements]","der Ruf (Pl.: die Rufe)	"
"reputation [Ansehen, Leumund] [einen guten Ruf haben--have a good reputation]; call [Aufruf] [nach--for] [der Ruf nach Freiheit/Gerechtigkeit--the call for freedom/justice]","der Pfad (Pl.: die Pfade)	"
"path [auf dem Pfad der Tugend wandeln--follow the path of virtue]","das Versprechen (Pl.: die Versprechen)	"
"promise [ein Versprechen einhalten--keep a promise]","die Abschreckung (Pl.: die Abschreckungen)"
"deterrence [das Fernhalten] [mil.] [nukleare Abschreckung--nuclear deterrence] [z.B. 'Teil der russischen Militärdoktrin bleibt weiterhin die 'atomare Abschreckung'.']; deterrent [Abschreckungsmittel] [zur Abschreckung dienen--act as a deterrent]","die Pflege (kein Plural)	"
"care [jdm gute Pflege angedeihen lassen--take good care of sb]","das Tun (kein Plural)	action; activity"
"die Untätigkeit (kein Plural [Untätigsein]/[selten] die Untätigkeiten [Fälle von Untätigkeit, unterlassene Handlungen])","inaction [zur Untätigkeit verurteilt--reduced to inaction]"
"der Tritt (Pl.: die Tritte)	","step [Schritt, Gang, Stufe, Trittbrett etc.] [einen falschen Tritt machen--take a wrong step; Tritt halten--march in step (идти в ногу)]; kick [Fußtritt] [Tritt in den Arsch--kick in the ass [vulg.]]; footstep (подножка; ступенька)"
"die Tiefe (Pl.: die Tiefen)	","depth [Ausdehnung nach unten] [in der Tiefe von 10 Metern--at a depth of 10 metres; in die Tiefe gehende Studie--in-depth study]"
"der Drogenhändler (Pl.: die Drogenhändler)","drug dealer [die Polizei wird unerbittlich gegen diese Drogenhändler vorgehen--the police will proceed ruthlessly against these drug dealers]"
"die Weltmeisterschaft <WM> (Pl.: die Weltmeisterschaften)","World Cup [sports] [FIFA-Fußball-Weltmeisterschaft--FIFA World Cup [sports]]"
"der Krawallmacher (Pl.: die Krawallmacher)","rowdy [Krakeeler] (хулиган)"
"das Missverständnis (Pl.: die Missverständnisse)","misunderstanding [jedes Missverständnis vermeiden--avoid any misunderstanding]"
"die Faust (Pl.: die Fäuste)	fist [die Faust ballen--clench one's fist]","der Druck ([das Drücken; Druckgefühl; Zwang; das Drucken; Druckart oder -qualität] (kein Plural) / [Kraft] Pl.: die Drücke/[seltener] Drucke)"
"pressure [Druck auf jdn ausüben--put / exert pressure on sb] [z.B. 'Die chinesische Wirtschaft stehe angesichts anhaltender globaler Turbulenzen weiter enorm unter Druck, sagte der Caixin-Ökonom.']","das Boot (Pl.: die Boote)	"
"boat [Boot fahren gehen--go boating (кататься на лодке)]","das Aufkommen (kein Plural [Erscheinen]/die Aufkommen [(Steuer)Einnahmen; Mengen])"
"occurrence; emergence [Entstehung] [z.B. 'Seit dem Aufkommen der Pegida-Bewegung entwickelte sich in den etablierten deutschen Parteien eine Debatte darüber, wie man mit dem Phänomen umgehen soll: Während sich die Opposition von Anfang an maximal von den Protesten distanzierte, gibt es in den Regierungsparteien unterschiedliche Ansichten.']; revenue [from taxation] [fin.]; amount [Summe, Menge] [fin.] [z.B. Handelsaufkommen ≈ trading volume [on a stock exchange]]","der Bauer (Pl.: die Bauern)	"
"peasant [sociol.; agr.] [Ich wünsche / wünschte, dass sonntags jeder Bauer sein Huhn im Topfe hat.--I wish that there would not be a peasant so poor in all my realm who would not have a chicken in his pot every Sunday. [attr. to Henry IV of France]]; farmer [jobs; agr.]","das Geschwister (meist im Plural: die Geschwister)"
"sibling [ich habe keine Geschwister--I don't have any brothers or sisters; wir sind zu Hause drei Geschwister--there are three children in our family] (родной брат или родная сестра)","die Begabung (Pl.: die Begabungen)	"
"aptitude [er hat Begabung zum Lehrer--he has a gift for teaching; technische Begabung--mechanical aptitude]","der Knabe (Pl.: die Knaben)	"
"boy [schweiz., sonst geh.] [Knabe von 15 Jahren--boy aged fifteen]","das Mittelalter (kein Plural)	"
"Middle Ages [im Mittelalter--in medieval times [hist.]; im europäischen Mittelalter--in medieval Europe [hist.]]","der Trost (kein Plural)	"
"consolation [als Trost--as a consolation; Trost spenden--give consolation]; comfort [consolation, solace] [schwacher Trost--small comfort; Das ist kein Trost für mich.--That's no comfort to me.]","das Gefängnis (Pl.: die Gefängnisse)	"
"prison [im Gefängnis sitzen--be in prison; jdn. ins Gefängnis stecken--send sb. to prison]","das Werk (Pl.: die Werke)	"
"factory [Betrieb, Fabrik] [ind.] [ab Werk--ex factory / ex works]; achievement [Leistung, Erfolg]; work [sich ans Werk machen--get down to work; Das Ende krönt das Werk.--The end crowns the work.]","der Eingriff (Pl.: die Eingriffe)	"
"intervention [chirurgischer Eingriff--surgical intervention [med.]]; interference [widerrechtlicher Eingriff--unlawful interference]","die Subsidiarität (kein Plural)	subsidiarity"
"das Prinzip (Pl.: die Prinzipien)	","principle [im Prinzip--in principle; einem Prinzip folgen--observe a principle; das Prinzip des Privateigentums schlechthin anfechten--attack the very principle of private property]"
"der Heiliger (Pl.: die Heiligen)	","saint [relig.] [nicht gerade ein Heiliger/eine Heilige sein--not to be exactly a saint]"
"die Hoheit (Pl.: die Hoheiten)	","sovereignty [Staatshoheit] [die Hoheit über etw (A) haben--have sovereignty over sth]"
"der Dienst (Pl.: die Dienste)	","service [öffentlicher Dienst--civil service [admin.]; einen Dienst anbieten--provide a service; aus dem Dienst ausscheiden--retire from a service]"
"der Ruin (kein Plural)	","ruin [zu jds. Ruin führen--cause sb.'s ruin; zum Ruin führen--bring about ruin]"
"das Weinen (kein Plural)	","crying [jdn. zum Weinen bringen--make sb. cry; Ihm war nach Weinen zumute.--He felt like crying.]"
"der Nachfolger (Pl.: die Nachfolger)	","successor [rechtmäßiger Nachfolger--legal successor (правопреемник; законный преемник); sich zum Nachfolger erklären--declare oneself successor]"
"der Austausch (kein Plural)	","exchange [kultureller Austausch--cultural exchange; Austausch von Grüßen--exchange of greetings]; exchange of ideas [Ideenaustausch]"
"der Gesinnungsgenosse (Pl.: die Gesinnungsgenossen)","like-minded person [Herr Klein und seine Gesinnungsgenossen von der Opposition--Mr Klein and people from the Opposition who think as he does or who share his views]"
"die Gesinnung (Pl.: die Gesinnungen)	","views [beliefs] [wegen seiner Gesinnung verfolgt werden--be persecuted for one's convictions] [z.B. 'Sanktioniert wird nicht mehr öffentliches Verhalten, sondern eine aus privaten Äußerungen abgeleitete Gesinnung.']"
"der Massenansturm (Pl.: die Massenanstürme)","stampede (давка; массовое нашествие)"
"der Andrang (kein Plural)	","congestion; crowd [Zustrom, Gedränge] [Der Andrang zu diesem Stück ist groß.--This play draws large crowds.]"
"der Missbrauch (Pl.: die Missbräuche)	","abuse [sexueller Missbrauch--sex abuse; Missbrauch der Macht--abuse of power]"
"das Siegel (Pl.: die Siegel)	","seal [ein Siegel anbringen--affix a seal (скреплять печатью); Großes Siegel der Vereinigten Staaten--Great Seal of the United States]"
"die Eroberung (Pl.: die Eroberungen)	","conquest [eine Eroberung machen--make a conquest; die normannische Eroberung--the Norman Conquest [hist.]]"
"die Stiftung (Pl.: die Stiftungen)	","foundation [institution] [Stiftung für einen wohltätigen Zweck--charitable foundation; Konrad-Adenauer-Stiftung--Konrad Adenauer Foundation [pol.; educ.]]"
"die Einweihung (Pl.: die Einweihungen)	inauguration","das Übel (Pl.: die Übel)	"
"evil [notwendiges Übel--necessary evil; das geringere Übel--the lesser of two evils]","die Gestalt (Pl.: die Gestalten)	"
"shape [Umriss auch] [feste Gestalt annehmen--take shape; in Gestalt von--in the shape of] [z.B. 'In Brüssel und Berlin nehmen Planungen für einen eigenen Haushalt der Eurozone Gestalt an. Bundesfinanzminister Wolfgang Schäuble ist nach SPIEGEL-Informationen bereit, erhebliche Finanzmittel aus dem deutschen Steueraufkommen für einen eigenständigen Etat der Währungsunion abzutreten, über den ein europäischer Finanzminister verfügen soll.']; figure [personality, character in a novel etc.] [mythologische Gestalt--mythological figure [myth.]]","das Eingreifen (kein Plural)	intervention"
"das Ziel (Pl.: die Ziele)	","goal [langfristiges Ziel--long-term goal; ein Ziel erreichen--achieve a goal; ein Ziel verfolgen--pursue a goal]"
"die Atmosphäre (Pl.: die Atmosphären)	","atmosphere [Atmosphäre des Vertrauens--atmosphere of trust; finstere Atmosphäre--gloomy atmosphere; entspannte Atmosphäre--relaxed atmosphere]"
"der Wechsel (Pl.: die Wechsel)	","change [Änderung] [ein häufiger Wechsel der Arbeitgeber--a frequent change of employer]"
"das Schmiergeld (Pl.: die Schmiergelder)","bribe [Zahlung {f} von Schmiergeld--payment of a bribe]; bribe money"
"die Verteilung (Pl.: die Verteilungen)	","distribution [Verteilung der Dividende--distribution of dividends; große Unterschiede in der Verteilung von Reichtum--great inequalities in wealth] [z.B. 'Die EU-Innenminister haben sich auf die Verteilung von 120.000 Flüchtlingen in Europa verständigt. Vier osteuropäische Länder stimmten beim Sondertreffen in Brüssel dagegen.']"
"die Bildung (kein Plural [Erziehung, Gebildetsein] / Pl.: die Bildungen [Schaffungen, Entstehungen, Gestaltungen])","formation [creation; Entstehung, Gruppierung]; education [includes subject mastery, cultural, and personal maturation aspects] [educ.] [akademische Bildung--college education or university education; Recht {n} auf Bildung--right to education; Mangel {m} an Bildung--lack of education]"
"der Judenhass (kein Plural)	anti-Semitism","der Vormarsch (Pl.: die Vormärsche)	"
"advance [mil.] [auf dem Vormarsch sein--be advancing]","der Zwist (Pl.: die Zwiste)	"
"conflict [disagreement, quarrel] [Zwist in die Familie bringen--bring discord into the family]","der Adler ( Pl.: die Adler)	"
"eagle [orn.] [doppelköpfiger Adler--double eagle [hist.]]","die Rückendeckung (Pl.: die Rückendeckungen)"
"support [backing] [jdm. Rückendeckung geben--back sb. (up)]","das Ergebnis (Pl.: die Ergebnisse)	"
"result [Zufriedenheit {f} mit dem Ergebnis--satisfaction with the result; beeindruckendes Ergebnis--sensational result]; conclusion [die Verhandlungen führten zu dem Ergebnis, dass …--the negotiations led to the conclusion that …]","die Rechtfertigung (Pl.: die Rechtfertigungen)"
"justification [Rechtfertigung einer Tätigkeit--justification of a practice; zu meiner Rechtfertigung--in justification of what I did/said etc.]","der Ableger (Pl.: die Ableger)	"
"branch [Zweigunternehmen]; subsidiary [Zweigunternehmen]","die Wertpapiere {pl} (Sg.: das Wertpapier)"
"securities [stocks; fin.] [festverzinsliche Wertpapiere--fixed-income securities [fin.]]","der Aufkauf (Pl.: die Aufkäufe)	buying up"
"die Schule (Pl.: die Schulen)	","school [educ.] [auf der Schule--at school [in der Schule]; zur Schule gehen--go to school [educ.]]"
"die Rate (Pl.: die Raten)	","rate [ratio, proportion, frequency] [Rate der Arbeitslosigkeit--rate of unemployment [jobs; econ.]; feste Rate--fixed rate (фиксированная ставка процента)]; installment [fin.] [erste Rate--first instalment] [z.B. 'Irgendwie haben sie das Geld noch mal zusammenbekommen. 588 Millionen Euro sollen an diesem Montag von Athen nach Washington geflossen sein, berichten mehrere Medien. Fristgerecht zahlte die griechische Regierung damit eine Rate des 30 Milliarden Euro schweren Hilfskredits zurück, den der Internationale Währungsfonds (IWF) dem Land vor knapp fünf Jahren gewährt hatte.']"
"die Begebung (Pl.: die Begebungen)	negotiation [fin.]; issuance","der Mitbewerber (Pl.: die Mitbewerber)	"
"competitor [Vordringen {n} ausländischer Mitbewerber--advance of foreign competitors; gefährlicher Mitbewerber--dangerous competitor]","der Ausfall (Pl.: die Ausfälle)	"
"failure [Versagen] [bei Ausfall des Stroms …--in case of a power failure …]; financial loss [econ.]; sally [mil.] [einen Ausfall machen--make a sally] (вылазка); deficiency; diatribe (обличительная речь; резкая критика)","die Sicherheit (kein Plural [Schutz etc.; Gewissheit etc.; Gewandtheit etc.] / Pl.: die Sicherheiten [Bürgschaften etc.])"
"security [also fin.] [Gespür {n} für Sicherheit--sense of security; Sicherheit des Arbeitsplatzes--job security; Sicherheit für ein Darlehen stellen--provide security for a loan]; collateral [fin.] [angemessene Sicherheit--adequate collateral] [z.B. Clarification: The National Democratic Party of Germany (German: Nationaldemokratische Partei Deutschlands, NPD), is a far-right political party in Germany espousing German nationalism. 'Parteienfinanzierung: NPD bekommt Geld vom Staat nur noch gegen Sicherheiten [ARTICLE HEADING]. Der NPD droht ein Verbot. Die Rechtsextremen müssen deshalb nun Sicherheiten hinterlegen - andernfalls überweist der Bundestag die staatlichen Parteigelder nicht mehr.'] (финансовое обеспечение (property or sth valuable that you promise to give to sb if you cannot pay back money that you borrow); залог)","der Schrott (Pl.: die Schrotte)	"
"junk [wertloses Zeug] [ein Haufen {m} Schrott --a pile of junk [fig.]]; scrap metal [tech.; material] (металлолом)","die Belebung (Pl.: die Belebungen)	"
"revival [Belebung alter Traditionen--revival of old traditions]","der Ersatz (Pl.: [selten] die Ersatze [ugs. für: Ersatzstoffe, Ersatzstücke usw.])"
"replacement [ersetzender Gegenstand] [als Ersatz für--as a replacement for]","die Regel (Pl.: die Regeln)	"
"rule [regulation, norm, habit] [eine Regel einhalten--abide by a rule; eine Regel verletzen--break a rule]; regulation [Verordnung]","der Kreis (Pl.: die Kreise)	"
"district [Gebiet] [geogr.]; circle [im Kreis der Familie--within the family circle; einbeschriebener Kreis--inscribed circle [tech.; math.]]","die Dienststelle (Pl.: die Dienststellen)"
"office [admin].; agency [admin] [Leiter einer Dienststelle--chief officer of an agency]; duty station [mil.] (место службы)","das Team (Pl.: die Teams)	"
"team [fünfköpfiges Team--team of five; gegnerisches Team--opposing team [sports]]","die Wehr (Pl.: die Wehre)	"
"defence [veraltet] [Widerstand, Verteidigung] [sich zur Wehr setzen--defend oneself]","die Aufstockung (Pl.: die Aufstockungen)"
"increase [z.B. 'Die Organisation für Sicherheit und Zusammenarbeit (OSZE) arbeitet hingegen an einer Aufstockung ihrer sogenannten Monitoring-Mission in der Ostukraine - auch Deutschland will seinen Anteil daran ausweiten.']","die Razzia (Pl.: die Razzien/die Razzias)"
"raid [Razzia der Polizei--raid of the police] [z.B. 'Die Polizei führte nach Medienberichten Razzien bei mutmaßlichen Syrien-Heimkehrern durch.']","das Gebot (Pl.: die Gebote)	bid [comm.]; commandment [relig.]"
"die Straßenbahn (Pl.: die Straßenbahnen)","tram [traffic] [mit der Straßenbahn fahren--go by tram]"
"der Standort (Pl.: die Standorte)	","site [+von Pflanzungen, Industriebetrieb]; location [abgelegener Standort--remote location]; position [+von Schütze, Schiff etc] [den Standort der Schule in der Gesellschaft bestimmen--define the position/place of the school in society]"
"die Beteiligung (Pl.: die Beteiligungen)","cooperation; participation [finanzielle Beteiligung--financial participation]; investment [Beteiligung an einem Geschäft--investment in a business]"
"der Weltraum (kein Plural)	","space [outer space] [die Rakete wurde in den Weltraum geschossen--the rocket was launched into space]"
"das Aus (Pl.: die Aus)	","end [z.B. 'Das Aus des Plans sei zu begrüßen, sagt der sozialpolitische Sprecher der FDP-Stadtratsfraktion, Jens Genschmar.']"
"die Beförderung (die Beförderungen)	","promotion [jobs] [jdn. bei der Beförderung übergehen--pass sb. over for promotion]; transportation [transp.] [Beförderung der Ware auf dem Luftwege--carriage of goods by air]"
"die Mühle (Pl.: die Mühlen)	","mill [ind.; agr.] [Gottes Mühlen mahlen langsam.--The mills of God grind slowly.] (мельница); grinder; banger [Br.] [coll.] [automot.] (автохлам)"
"die Nachricht (Pl.: die Nachrichten)	","news [bedeutende Nachricht--great news; auf die Nachricht reagieren--react to the news]; message [eine Nachricht hinterlassen--leave a message; eine Nachricht richtig verstehen--get the message]"
"der Pfusch (kein Plural)	","botch [ein Pfusch--a botched job] (халтура)"
"der Häftling (Pl.: die Häftlinge)	","prisoner [politischer Häftling--political prisoner]"
"die Panne (Pl.: die Pannen)	glitch; accident","die Vene (Pl.: die Venen)	vein [anat.]"
"die Hinrichtung (Pl.: die Hinrichtungen)","execution [killing] [auf seine Hinrichtung warten--await one's execution]"
"die Schulter (Pl.: die Schultern)	","shoulder [mus.; anat.] [sich (D) die Schulter ausrenken--dislocate one's shoulder; Klaps {m} auf die Schulter--pat on the shoulder]"
"die Herausgabe (kein Plural)	surrender; publishing","der Krankheitserreger (Pl.: die Krankheitserreger)"
"germ [med.] [Schmutz ist eine Brutstätte für Krankheitserreger--dirt harbours germs] (микроб; бактерия)","die Erscheinung (Pl.: die Erscheinungen)"
"phenomenon [Naturerscheinung, Vorkommen] [atmosphärische Erscheinung--atmospheric phenomenon]; figure [human form, appearance; Gestalt]; occurrence [Ereignis, Geschehnis]","der Wirkstoff (Pl.: die Wirkstoffe)	"
"agent [active substance] [pharm.; biol.] [antiviraler Wirkstoff--antiviral agent [pharm.]]","der Ratschlag (Pl.: die Ratschläge)	"
"advice [jdm einen Ratschlag geben or erteilen--give sb a piece of advice or some advice]","das Labor (Pl.: die Labore/die Labors)	"
"lab [laboratory] [Labor für biologische Kriegsführung--biological warfare lab [weapons; mil.; biol.]]","die Entzündung (Pl.: die Entzündungen)	"
